Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,Start Date
HH Pandya ,20,56,26,2,0,76.92,1,v Australia,Kolkata,21-09-2017
B Kumar ,20,39,33,1,0,60.6,1,v Australia,Kolkata,21-09-2017
MS Wade ,20,29,18,0,1,111.11,1,v India,Nagpur,01-10-2017
PSP Handscomb ,20,36,22,2,0,90.9,1,v India,Adelaide,15-01-2019
SR Watson ,19,41,26,3,0,73.07,2,v India,Nagpur,28-10-2009
RA Jadeja ,19,34,25,0,0,76,2,v Australia,Melbourne,05-02-2012
IK Pathan ,19,52,27,1,1,70.37,2,v Australia,Brisbane,19-02-2012
MS Dhoni ,19,52,22,2,0,86.36,2,v Australia,Pune,13-10-2013
MS Dhoni ,19,42,31,2,0,61.29,1,v Australia,Melbourne,18-01-2015
DA Warner ,18,46,24,2,0,75,1,v India,Adelaide,12-02-2012
V Kohli ,18,41,28,1,0,64.28,2,v Australia,Adelaide,12-02-2012
RA Jadeja ,18,29,35,1,0,51.42,2,v Australia,Brisbane,19-02-2012
B Kumar ,18,32,27,1,0,66.66,2,v Australia,Pune,13-10-2013
CJ McKay ,18,65,37,3,0,48.64,2,v India,Bengaluru,02-11-2013
MS Dhoni ,18,18,13,1,1,138.46,1,v Australia,Perth,12-01-2016
AT Carey ,18,33,27,2,0,66.66,1,v India,Adelaide,15-01-2019
DT Christian ,17*,31,16,0,0,106.25,1,v India,Melbourne,05-02-2012
AC Voges ,17,36,31,1,0,54.83,1,v India,Delhi,31-10-2009
SK Raina ,17,46,30,0,0,56.66,2,v Australia,Mohali,02-11-2009
SK Raina ,17,27,19,2,0,89.47,1,v Australia,Mohali,19-10-2013
MR Marsh ,17,24,14,3,0,121.42,2,v India,Melbourne,17-01-2016
BW Hilfenhaus ,16,17,12,2,0,133.33,2,v India,Nagpur,28-10-2009
P Kumar ,16,29,19,3,0,84.21,2,v Australia,Mohali,02-11-2009
MS Wade ,16,25,18,1,0,88.88,1,v India,Adelaide,12-02-2012
SK Raina ,16,34,15,2,0,106.66,2,v Australia,Nagpur,30-10-2013
RA Jadeja ,16,23,17,2,0,94.11,2,v Australia,Sydney,26-03-2015
SPD Smith ,16,31,25,1,0,64,1,v India,Nagpur,01-10-2017
JA Richardson ,16,-,23,1,0,69.56,1,v India,Melbourne,18-01-2019
MP Stoinis ,15*,17,9,1,1,166.66,1,v India,Bengaluru,28-09-2017
