Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Opposition,Ground,Start Date
RA Jadeja ,5,0,44,0,8.8,1,v Australia,Hyderabad (Deccan),05-11-2009
CJ McKay ,10,1,44,0,4.4,1,v India,Guwahati,08-11-2009
MM Patel ,7,0,44,0,6.28,1,v Australia,Ahmedabad,24-03-2011
SK Raina ,10,0,44,0,4.4,1,v Australia,Brisbane,19-02-2012
PJ Cummins ,10,1,44,0,4.4,1,v India,Chennai,17-09-2017
JJ Krejza ,9,0,45,0,5,2,v India,Ahmedabad,24-03-2011
DT Christian ,10,0,45,0,4.5,2,v India,Adelaide,12-02-2012
R Ashwin ,10,0,45,0,4.5,1,v Australia,Sydney,26-02-2012
XJ Doherty ,10,0,45,0,4.5,1,v India,Mohali,19-10-2013
UT Yadav ,7,0,46,0,6.57,1,v Australia,Brisbane,19-02-2012
GJ Maxwell ,9,0,46,0,5.11,1,v India,Melbourne,17-01-2016
RA Jadeja ,10,0,46,0,4.6,1,v Australia,Sydney,23-01-2016
MP Stoinis ,9,0,46,0,5.11,1,v India,Kolkata,21-09-2017
Mohammed Shami ,10,0,46,0,4.6,1,v Australia,Sydney,12-01-2019
